prospect_FirN,prospect_Ag,prospect_Sta,prospect_NumC,prospect_LNa,prospect_AddL1,prospect_AgeID,prospect_Pho,prospect_MaSt,prospect_NWor,prospect_Gen,prospect_Coun,prospect_CrRat,prospect_MiIni,prospect_Emp,prospect_PoCo,prospect_Ci,prospect_OORFl,prospect_In,prospect_NuCh,prospect_AddLi2,prospect_NuCreCar
kpofwgtomgijnm,38.0,IL,1.0,czuvw,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,czu7576,1-352-678-5471,M,3874445.0,,Canada,348.0,,Phillips-Van Heusen,Xbgykqm,Oakland,O,156048.0,2.0,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,3.0
Biflzgcqpqpbahquomftmjffohpwuy,68.0,AZ,1.0,Ghrlcuscpesuzsdwqfwwbgh,BESJDYZDIOIXKDFEHBQXBPW,Ghr7577,1-906-600-9749,M,437353.0,,United States of America,598.0,Z,Wells Fargo,NNCXIBTCXZA,Billings,O,63617.0,5.0,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,8.0
ybdlwlwxispyswbiegrbsqqtywxr,93.0,NY,2.0,Rwkdeshuwhwvmvmdnckmuvdt,Ouopoqztakszwsfkthdbwndfjuqaelyd,Rwk7578,1-093-018-2851,U,2669917.0,,United States of America,505.0,,Vornado Realty Trust,mfwuio,Pueblo,O,244849.0,2.0,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,9.0
Capzcewdt,48.0,WA,4.0,Uwinnbtdd,Ivwhotvobwkshcixclfobqoljlaqohw,Uwi7579,1-302-096-9321,S,1466537.0,,United States of America,839.0,,New York Times,Utgwrun,Sherbrooke,R,123585.0,3.0,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,7.0
XKBLVBCCYKMIXABVTOTVPZCJRII,96.0,GA,1.0,VXZTLDNZPYIFIKTIJRXS,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,VXZ7580,1-915-044-3154,S,991860.0,,United States of America,672.0,,Adobe Systems,Wgulrhctjlg,Sacramento,U,391134.0,1.0,CYQWJKJB,2.0
wmknfemsztimaphftadowlmbnp,58.0,AZ,5.0,Aykkkc,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,Ayk7581,1-040-274-3474,M,,f,United States of America,696.0,p,Valmont Industries,Srhxvxe,Charlotte,O,426759.0,5.0,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,3.0
DHLVITRFJDXLTPAGMPMJ,63.0,NV,5.0,lhodktal,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,lho7582,1-678-397-2739,W,1816368.0,M,United States of America,448.0,,UAL,Dadkihaohc,El Paso,O,451737.0,3.0,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,5.0
Jdpqutldftwykfyhukveiaimoyyk,18.0,TN,2.0,rziprpcfwnirtuvrbfnuepq,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,rzi7583,1-679-345-9939,S,565246.0,,United States of America,549.0,,AFLAC,Fpoleiod,Mesa,O,180822.0,1.0,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,9.0
Qiwemtdba,40.0,AL,4.0,Wdsuorykxmvfxupyyjl,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,Wds7584,1-093-616-0613,W,1899339.0,,United States of America,705.0,,VeraSun Energy,Cuaieflmccqp,Simi Valley,O,205843.0,2.0,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,0.0
JQKEDISZ,29.0,TX,4.0,Xsjypvyfoqbiq,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,Xsj7585,1-546-131-8988,M,3873239.0,M,United States of America,387.0,f,Magellan Health Services,qiraymmapgf,St. Catharines,O,470985.0,3.0,ccfzcxohrhrcnypedmhjovjyjrxi,6.0
Gfuwa,21.0,WV,2.0,Luxkby,Nhgrkzjzcrjcerkwrugwul,Lux7586,1-477-186-7432,U,767547.0,,United States of America,359.0,v,Emcor Group,Tsynomgib,Washington,,318225.0,1.0,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,7.0
CTTUYHUUMMDTX,41.0,ND,2.0,wxwhwasadsmxchyhlgrvnurte,,wxw7587,1-965-848-6954,M,1027999.0,f,Canada,494.0,,Peabody Energy,Amudllk,Chula Vista,O,326044.0,2.0,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,9.0
Wvtqm,56.0,Saskatchewan,1.0,pfzjoarqopfjtzjalxxxeq,uiaoi,pfz7588,1-622-866-0937,M,3428495.0,m,United States of America,345.0,e,State Farm Insurance Cos.,ELQKT,Montpelier,,,1.0,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,10.0
xuwgpsvzcpxtoerndtr,33.0,VA,2.0,hlxshqpvshstjerwclb,Wwonzdtvwkn,hlx7589,1-040-217-2014,M,1827180.0,M,United States of America,402.0,,Humana,Oiwac,Mesa,O,187282.0,0.0,REHWDWEP,10.0
Hnnzpokbygacjjgybkskf,96.0,ND,2.0,nybiaaw,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,nyb7590,1-101-684-2373,M,2070007.0,,United States of America,579.0,,News Corp.,Dqgzinvuxxy,New Haven,O,,0.0,BLJWLBPCUELGOKEIUQCTSGDTXPVLCUAMBJJFTLWHGJCNDTMJCJEPURKGOZXHMEG,3.0
qsnivsknktiwjpqwnrlgftnmsrxkjc,35.0,ND,2.0,Lttvvpjjavydrmbt,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,Ltt7591,1-386-426-5849,,,,United States of America,569.0,O,Torchmark,Nchaajfkjvx,Indianapolis,O,,0.0,DIMPFMEBDNHBCT,2.0
pygsfvfpeofkdcugfvxdsqgmcgebfp,40.0,MS,0.0,gszunimggpyfjzmivbwizzftuen,cezvfwtftwlwfrgrpxtuejvrgucexe,gsz7592,1-598-816-0126,W,3596263.0,,United States of America,745.0,,Rock-Tenn,XEDMBUAMGXKH,Stockton,O,306946.0,4.0,CPQPITTJFMZURCPKRDGFXKRGKAGZRVRHTVLTDGCNAIMRIQMUJMAFVYKPGZJTYUFXD,9.0
Zgxsuo,10.0,WY,0.0,Kwpztgkknktyvdks,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,Kwp7593,1-770-379-7700,D,3719999.0,,,320.0,,AGCO,crxbrlj,Louisville,U,99663.0,,DVYTEPWCABNSGPTLJEMPQLTEWM,1.0
ganifmdaqbltccwbqijtkypcetuq,59.0,MA,2.0,AGMCLBCUEPVBRKDKWAGBCFOLYET,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,AGM7594,,M,3058439.0,,United States of America,591.0,D,,Eytubbwi,Atlanta,R,482013.0,4.0,SKLIUNERLPFHIHAPMJBTKQVRKTLDHCQIYPTSST,4.0
IYCOMORWDFSEKN,70.0,AK,1.0,Ocnds,Ctgihaqlm,Ocn7595,1-628-245-6238,M,2592932.0,m,United States of America,,u,United Stationers,Lwftldizl,Milwaukee,U,180476.0,0.0,,10.0
vdvdlfz,69.0,PA,4.0,Cmweamsabhudajyhpsohkpzcy,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,Cmw7596,1-813-787-2611,M,1471273.0,F,United States of America,417.0,,McCormick,GSSFZNBZL,Fort Smith,,285682.0,5.0,qlgnszfowrbrkuurrmjrfnfaeulhneecv,5.0
Sbwymtnwzhffkwjczlsnvrtcv,96.0,MA,0.0,Ditjvpiidkjkvxssfnctzcczb,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,Dit7597,1-362-897-1162,M,,,United States of America,338.0,V,National Life Group,Nrnqtmjz,Knoxville,R,455032.0,5.0,VHIXZPOUQNTSSHSDGUCZRJUUTMIKLNWMJAVUWCMTVNSFTCYJK,8.0
qjjwbffbgxilxyarhjwdvo,9.0,DC,3.0,Rmmasnivkq,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,Rmm7598,1-952-919-4878,S,2410816.0,,United States of America,340.0,S,Hasbro,Rzjxvum,Idaho Falls,O,356141.0,,CVQRRGZCPZBNQTCNASXYSYWIUEJKLKHKBQZTGXQCFUDATGTJLZCATICUAJAHZLFG,9.0
JIXUQX,39.0,RI,3.0,ekjvgcmzgobzeerrpfgefwvxlvfcua,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,ekj7599,1-145-214-8009,U,1059543.0,,Canada,738.0,,Tupperware Brands,Accezkuzqrif,Jacksonville,U,165667.0,3.0,svisticqsjulrudmbisfvfrpddlemifeirzxpdcflhevzsrddatdhpzcrtucukwlqng,5.0
Eqrxuc,31.0,MA,0.0,wcqqbslcxugdqpbzbmbqvlahw,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,wcq7600,1-328-944-9786,S,379282.0,,United States of America,597.0,A,Covance,LNZZPGOTEG,Stockton,O,459767.0,2.0,MIMWGPPF,7.0
PDAXUXBMPOVTKJUR,64.0,Alberta,2.0,Klcanpomjmuwosnasroukafsxtufz,RSSNUTWWLOKIHRRTPEAFTLBF,Klc7601,1-899-864-9421,M,3271265.0,f,United States of America,603.0,,Interactive Brokers Group,YINOHET,Thousand Oaks,R,106459.0,2.0,Xpannac,4.0
Adftxl,38.0,AR,,Jrdmn,Sachwqwddeyfxvagihsjxtcsibaejb,Jrd7602,1-877-997-8896,D,1530364.0,,,662.0,,SkyWest,ddgkyv,Nashua,U,51021.0,1.0,Pspmoftnashzvtfxfiuuzjpcvugdlvvezjgojjmvkgaqxqriw,5.0
Gaksvvggpbleteofow,47.0,VA,2.0,GDQESTOSFCKVLPZEQPNFIKQLTXB,Cufllhjlhxcfjgmkipgheftjjbidptdiypdgekdobmfjdtamkcrxnqjo,GDQ7603,1-750-900-0823,W,3731860.0,,United States of America,838.0,,Best Buy,Seiksuhglhj,Tallahassee,R,494931.0,4.0,RUVLQHPKIECWUMXVAJLEIVCCDFYFEMUNTJAJ,0.0
Ijstknxzfzsvqmy,,OR,5.0,fnmqzceohwapysohiuofkhjpwzgv,Sbutxmtwkb,fnm7604,,M,2488858.0,,United States of America,791.0,,Sears Holdings,Ytgghhaxc,Brownsville,O,429859.0,2.0,Tgduloxjkccxdbsfdbssvgjtovxnpmmufkdwbhtgolrddejglsgeds,9.0
jvhwyzbcwdrrqmlbvpjwbohhemm,76.0,ID,1.0,Ymuvinagbzdhiwglzfacood,Cbalccrxcihrvxlkggbuhwtfthdoqrnmgjnjotietwj,Ymu7605,1-347-704-7823,S,2301347.0,,Canada,692.0,e,Frontier Oil,Ajlcdadx,Charlotte,O,,4.0,Axjkrkrawohwcuinpapcyjweaijfinacyiwajxirccyh,7.0
nhhjbqktsr,60.0,IA,0.0,Pxjmfwpwm,mnkidgiyajigobghpnkdvauwiubpjb,Pxj7606,1-228-976-2888,W,1736571.0,,,673.0,R,Automatic Data Processing,Daivf,Oakland,O,464086.0,3.0,WONBQPUKDIDRBXJQPKRNCTWJZIQEVS,8.0
Lmhtjwddyqbzlxgv,73.0,TN,3.0,Rsdlvo,SJIOBZNSUAWIYMOBHPAHXYCZFFDWRJQHWWXUBACZQEAHXRRADOPNPTLSNPUKMR,Rsd7607,,U,2399483.0,,Canada,331.0,M,,xrquzcptycg,Fort Wayne,O,207651.0,,Mbkljdwjmcmljajvikytmadyqikaodunvvwefxnbvjquurcokfmbhtjirkox,7.0
BXFLGQTJSJDQAUCXXJXWHTQU,37.0,Nova Scotia,4.0,Qqhwdyopkfs,Fmrydeogisvvtrpsfonolelpnqcbkrr,Qqh7608,1-760-429-1328,U,2982744.0,,United States of America,744.0,,Comerica,shigmwk,Chula Vista,O,260418.0,,BPPKDY,2.0
Tlaihggmhfiuezhjgps,50.0,Ontario,5.0,udqexswxytatsvxw,Xhggtfwyslxvgeiuzjfxewcsweefq,udq7609,1-253-879-8833,M,1611011.0,,United States of America,446.0,Q,Baldor Electric,enehob,Peoria,U,,1.0,eapjgyvomnplzitwttydublguuocfdcksfgxlvoziqblbgdr,6.0
DSRXJZKFJTIVXLBAX,0.0,MD,0.0,Ghlflxgkavpsqvkpun,,Ghl7610,1-401-256-3483,M,2999167.0,,Canada,,M,Commercial Metals,RNLAKRXSPA,Lexington,O,316963.0,4.0,Nbhshnkkfusbintuaomfozzlzlrqvcnszantpkgtdkpeezeygucvpain,0.0
Annsrbdzywmpqvigpn,,AR,5.0,mtkfmxripistepftjaxfosviokgqsf,PGNOPPCDMGALPXCUTMSWMPCBAEXDPEWWNELVBMEHMLQWFXJFPBV,mtk7611,1-175-910-8245,W,,f,Canada,,,,Hlezt,Salem,O,84046.0,,Xuqmcmxaigbk,
Mrawpcvb,,Saskatchewan,0.0,QIYQRALNIIONMKDZB,Scrrpeqjhflhjodeislwrkogtusekfhgavxyzkxucsswbsfvyarheuoxubvpbrqnikgtnojhrzqd,QIY7612,1-565-191-3419,M,3307491.0,,United States of America,723.0,,Molina Healthcare,Iyqmkpcjx,San Jose,O,368990.0,3.0,cjnjhkatetnmjfhafbopqgnqxuyyigzhvcscq,9.0
yociu,81.0,OH,2.0,Ohzpaqjtc,ocaoqaoavswoepexbshcfxlebpktrvxcailmkgrubpkhnn,Ohz7613,1-921-688-5401,S,2057260.0,,Canada,348.0,,Plains All American Pipeline,klgnkcaedht,Kansas City,O,124382.0,0.0,HBKYXCKDWMWYBLFBULAVFJRDDWSJVEIRZWMRPJI,2.0
DQNVNWPYSMLDGXJVBUHUKDLRSLN,52.0,VA,2.0,djgtucxplpftr,Gvdteormavfflajkedaclod,djg7614,1-925-155-0170,M,53179.0,,United States of America,666.0,,Agilent Technologies,Jsombikj,Windsor,O,9263.0,0.0,EECYCMJAJGNQBRSKW,
wfnjfn,68.0,ID,2.0,Iaduje,FVYNANAYSWPPSTXKNOKMZMLZOIBIQTBNDJJPEXEQCMANKXOFXEPJSLXVHO,Iad7615,1-185-691-2951,M,690086.0,,United States of America,,,AutoZone,Xtckbvng,Chicago,U,334181.0,4.0,Gzqqapoggafoymlrsdrpgoprvegwwopsfzocffghlyukaydviarcohmehmyeirotvnrvtpi,3.0
WWWEN,,WI,0.0,EMGQKGEOTCGAFGDZVTRUAVGZYPM,Idxmryfqfxjwygiupsvahogtgmfblkxthoqfgrdeuchamwhdjpupmcclxwkppzpt,EMG7616,1-067-518-3854,M,2025465.0,,United States of America,844.0,H,,YPUWSVRD,Evansville,R,314001.0,1.0,hgandkyzsnb,8.0
Krjcfgq,36.0,MS,1.0,Hjnljezrxojeaoustvawackahexa,Gqewktqrrjfbnpatabopksiemhbecyoadkxaldjzkcxdnfyissksjcswkezsvqqodaybteddmn,Hjn7617,1-188-554-1671,M,695307.0,,Canada,766.0,,Universal Health Services,Ifxvsnt,Honolulu,O,168309.0,4.0,Zdhvqoatgrajtuxyjelccetgjoccpfpsixd,8.0
Fxmpengjsaf,31.0,OK,2.0,CYPTBBGPWKKKFNOUHJ,wqthjtgarfuteltgcckdynvrfpiuivsimldzlpf,CYP7618,1-168-215-2223,M,3238398.0,M,United States of America,521.0,D,Time Warner,EAOJPQVWBNZ,Cleveland,O,322765.0,4.0,Qjlhsxmeblxszguipqhysmeugvxjfbogsljhnkjbyzofkptcvjsxjzk,10.0
Eobtk,55.0,GA,1.0,KPNRNVLRFUTOWOERTCSIRQZ,HITOZAEKDUJCXSKBHPQYZQSMKSTJXLVHU,KPN7619,1-228-022-3056,W,1213578.0,,United States of America,306.0,h,Sealed Air,fhirgl,Livonia,O,311253.0,5.0,QTWXYHMLBYQ,7.0
Abahrdfcbtscoblhaovnjkbx,66.0,TN,5.0,Vbimifwtrtvb,Blsmawjjdmdamrhqyqgzmbkfa,Vbi7620,1-926-766-1124,W,103708.0,,United States of America,411.0,x,Sprint Nextel,Lahfziy,Little Rock,R,140296.0,5.0,SDEAIMDWRSKXTFCPHWF,9.0
bhephgijqbu,22.0,SC,1.0,ehbcbdctlcspuvwbqveohanmkolbw,Stofpzwyhkpmuq,ehb7621,1-538-797-1948,M,1086081.0,F,United States of America,,,,tofdjef,Halifax,O,439984.0,5.0,Hvihqkuiruvwtepybhnojenudorriouchghugcvjufnkzunbsrmtbcrmps,3.0
KECNVVPGTOXHIGOUAWLHU,51.0,AR,5.0,TMQACIIUMYYZHYX,LPPSVGKGAUQESCWZEDIMRDWXUAJHNNYZUGVANEOPQEJGBKDNSTJEXOJSJQJXLLZRREKKD,TMQ7622,1-627-234-0841,U,1349626.0,F,United States of America,702.0,C,Quiksilver,rckzx,Peoria,O,454011.0,0.0,DDYEJXZYQIMFMUBLREEDFORHJSISHQDDZPBMPYHNYWIFJDDOUOLVPBXWANDWWB,8.0
xppmtvztaifqynlbmofxonnus,26.0,MT,1.0,Lsbutxufufshmkqnscnhx,,Lsb7623,1-876-492-0782,S,1083092.0,a,United States of America,842.0,y,Valspar,MMLJKBGXD,San Jose,R,191541.0,5.0,qujdhroylacrccrmzujxxqlnymrouggufjybwwsykhsvmex,1.0
kzntoukktuqqfuyeo,100.0,WY,2.0,Dpzpfctp,Twfsibyhrvrnvcygkdiwyokzoikvjbawfwpiachehbzcinnvdgevmbuozxru,Dpz7624,1-436-946-7319,U,1662799.0,M,United States of America,528.0,u,Timken,banusio,Charlotte,R,,1.0,Lhwkvadxwcjobcggyuighvqlcm,0.0
TDRLAQZARCGRAMDDMCWP,13.0,WY,3.0,Zujmcfzznpfohsdp,cnckvldjedzgdqhy,Zuj7625,1-281-780-2897,W,3548540.0,,United States of America,300.0,,,Safkd,Hilo,R,,3.0,,5.0
shbaeyxyrjfietruntrdeyqkc,11.0,WV,2.0,Jqkozdva,,Jqk7626,1-421-286-4139,S,881414.0,,United States of America,752.0,,Occidental Petroleum,DHTLWJDXLRW,Yonkers,O,269215.0,1.0,zbukjmmufvsxqdpushkgyleznwdgfdwkdhfzdfvlhvhzyxozyghmfggpnvsvwbx,7.0
Zururxrihusergiba,62.0,CA,0.0,ijbcvbgglqupyentiqncsnswyygl,VITKCZSDQUXZTMLICIBDHMBKLDLCTRVNDXMCHYEHGKHEVTWIYGOYVVMGCSUTKYDEVACOBPWCJYA,ijb7627,1-908-354-2709,M,1712200.0,m,Canada,303.0,,,RORIUHK,Modesto,O,193126.0,4.0,Alukohji,0.0
QZLCPVRKZMTENMREVZT,13.0,Alberta,3.0,NMOXMHMVUDGY,qehomraquwxrkb,NMO7628,1-466-560-2530,M,847446.0,F,United States of America,418.0,U,Massey Energy,bxgwhohh,Louisville,O,462618.0,5.0,qinotwpokaozfdzpohccxuavdpaxwdlmtmjadfltnjmhwgrdejicmcfnlubhbyllemdfach,10.0
dvbflygvxrizbclmqwoajkvnzoufc,23.0,New Brunswick,3.0,Tefewe,pqcvwpsrvpzvqbvhsmxgvaigjfvoqwnjrzcpnlwqcqhzedfjoqpahrugzhperwh,Tef7629,1-578-686-8082,W,344294.0,f,United States of America,667.0,,Weyerhaeuser,SRARKMXOD,Eugene,O,212026.0,3.0,FBWQRQEOCZGLOVVDOASBUQUXZBVEIKKQRXKCOLNRDAEZDUWIIIHUPMQPB,4.0
mtnubdnrdoivcuqmapqhtvzkixw,51.0,British Columbia,1.0,Sdjhq,Vhixcyutfffwnvhjcajyuzaqshhtpkcdxkxayylwdfdvwdqejppkxhwfe,Sdj7630,1-166-077-1436,D,1534879.0,,United States of America,441.0,Z,National Fuel Gas,hwugfvlttol,Buffalo,U,371024.0,4.0,Kxxipkohacffav,7.0
Nzljqsbgutsixlosfedpmlzl,2.0,DE,3.0,Pbrfgfdwedgrmifitr,kxnhxkeruywqzmkpbwatzrjybxepmuyrnmxtcjblsbdaewnizpa,Pbr7631,1-535-320-1881,U,3897101.0,m,United States of America,471.0,,Pep Boys,zgsllav,Santa Fe,O,235810.0,2.0,Qiuvitslpgrugyhfepyhqpkepxoakfdvujxvlwdzbrdqkspjgjwaxyoqtmumrognloxfgllgtbwijnof,0.0
Ealrdsynhtadihmsl,,CT,2.0,Icejebxweavlnddpjz,Kobkgkfebuucmenkiwfomkpzvbqksljtanzpffqcbmerezuplwjemxtcbgfijlplqkbvt,Ice7632,1-633-495-6478,W,3064442.0,m,United States of America,701.0,,Neiman Marcus,Mszwfhpj,Springfield,O,347270.0,,onxyyslcmbyxpfjuykowqpwqi,9.0
xfjdwfentojva,82.0,Quebec,5.0,ZWGIV,TAIWTM,ZWG7633,1-398-680-0278,D,2016524.0,,United States of America,323.0,,BlackRock,Yqfxb,Anchorage,R,399212.0,2.0,Wkxlmnutvtbidibsrfiukggzvzdvudlsqtqoeebfxdwoljaovnqwtpfbxqltfivgy,1.0
Zvowaelneuhpxzphpvtgvfz,94.0,NJ,4.0,Evwthrqmqfpsbpdqojtqzpjmpoea,Twqwqcihxcqtsikjrbkpdkcjvilxxwufcseemmxkpaevfnnugdvcqakfvfskapafcnvyd,Evw7634,1-185-976-7770,M,37745.0,m,United States of America,846.0,,McGraw-Hill,ypmuep,Winnipeg,O,439561.0,5.0,MXUDWCEFTAOMQPNNQJDWEAHPTNIEPUJTQFGLYLHYBIJTRKBWERWKLGDWLBP,10.0
fmdcjzjekrwrirumyvfuqnnkxzr,16.0,MN,3.0,Lhlatzfku,Wvsmbbadsaukihzirleqmihmfjfafpipekvdkefyphameghcopkjeesgzzrbcermehabkebgrek,Lhl7635,1-490-238-8219,M,503752.0,m,United States of America,850.0,c,Family Dollar Stores,Xthtecuu,Waco,O,29980.0,4.0,Krdmgygwnziumjdtybwyw,8.0
Ohetzpmilrphnhnasiisaypdl,43.0,NE,2.0,LYBUGCXZYJSERVQKQJKNIIW,gftdszadvqouvqfmwwscgcdqwrqbpwtnqurrsyiwhkcvhuocznwtwvy,LYB7636,1-891-741-2112,M,2115180.0,,United States of America,,N,Teleflex,Xjzpdio,Stockton,U,28693.0,5.0,JTLEWNNBVYPWFKNPYKCXCZDTNCGWXYQCIDBURDHPBHUDIRREIPIIWURQNJPCMCOXKDIHAMXJO,
VAUWGMVOILXNGKB,76.0,VA,1.0,Ijbmwiomutrflaupolplmfjsqh,Phqspowfoiqmszxy,Ijb7637,1-849-918-0984,M,839222.0,M,Canada,564.0,x,,Rgthehdvvlh,Boston,O,106794.0,2.0,xauoqrsloepjaonxzrenuzjnuvdmormautvsxrsssues,3.0
Tnwgmuvaaqmxskkyqnvrmnmul,0.0,PA,3.0,Zhftulgpedd,XDPEFDQIMFNMCO,Zhf7638,1-426-168-3142,S,1851334.0,f,United States of America,558.0,,Imation,ysexit,Memphis,O,340598.0,5.0,Qkooarftocvmdpflbfdukodamzupzeoefxdaprmvotwoihofsraorlctgmjewbdafubkew,4.0
mtovrkjvtfkennjujgpegknnck,33.0,WV,1.0,PYUHQOCHAUAWGKHHLXQNUWZTEBN,FSSAAXLAMAPBOMTNUFG,PYU7639,1-757-910-8931,U,1348251.0,m,United States of America,417.0,r,PPL,Wscgcsbwlzj,Sydney,O,490597.0,,Bfntmkesgyjkjrgttbtdncoumqhmnxy,0.0
Lwxdv,62.0,WY,2.0,Ikufiibsvk,AKWOIATLDDKU,Iku7640,1-468-325-0119,U,2722392.0,,Canada,487.0,F,Smithfield Foods,AUQJTIMK,Shreveport,O,499685.0,2.0,,6.0
Ftvuzjdzocqmcoxvrbqcna,8.0,MN,2.0,HBZACUNNIOTFKFSTCILLC,Awzdulnpokgxmcpktscqulqpvxabgunakhqq,HBZ7641,1-383-310-7894,M,1785161.0,m,United States of America,639.0,,Macy's,Weqnwrwrbcgx,Modesto,O,62285.0,0.0,Bnbfbxvqxtngv,9.0
Hnbgeuii,4.0,VT,5.0,Pcofbhaqeemibnkjtsoxmdibmpquo,VANVGDDSYEK,Pco7642,1-353-727-2029,U,2823578.0,M,United States of America,625.0,,Torchmark,facqrtjqjmd,Hull,O,320885.0,5.0,BYTRQAUTQWENJWAKLFVQEHKDYJALLKWO,3.0
Fykbowmpxpbb,39.0,WV,5.0,Ybvjle,TVTDULLNHUZPDNEEKSXEGPXDNE,Ybv7643,1-028-849-5461,D,2123972.0,,United States of America,,,Herman Miller,OCNCREZ,Yonkers,O,184669.0,3.0,XDXUKYODQUUHZQCBQEZZQCMWQMQBUUEJTNSZIBPMEPLOP,1.0
Ruagwhiorgizpmbphjerywjrr,90.0,IN,0.0,Rimdakhncfjlrbor,phbmzmktzmjbzbkqsvgsvojcoukqnfkdnyszoeqyprkqroesnbjv,Rim7644,1-480-785-4021,S,112782.0,,United States of America,,F,Kindred Healthcare,JXOGSVJ,Atlanta,R,126989.0,0.0,nkftfznscqodxukjlmjmztlnhvcaaxmcagvke,3.0
teldp,7.0,MS,1.0,gnfkwjxmvkbeh,HWAWSSEUGGKEXQDESYXFHWZ,gnf7645,1-443-132-4138,M,248311.0,,Canada,460.0,,Arch Coal,Iqtso,Hayward,,48144.0,4.0,Qydqhbagvjtuivmefsuswajpijxzrnjxehoevanlkivlnnfncirniymupsrolidbsqjovm,3.0
Tmhxnpfgyifx,95.0,CO,5.0,Wxphiul,Tbgfcjvdnlvfdbsflxuslzugybolmyrvhvnmxmsmbjqjbzyhchsimsksjsmefqpcmz,Wxp7646,1-143-020-1234,,3719851.0,F,United States of America,793.0,C,Whirlpool,Uxgvbwop,Savannah,O,377787.0,4.0,Mbxglsrssswfglfkjrjmedkyvtchipxrc,8.0
Fpchjcvsrkakkqqsojokdrg,59.0,PA,5.0,Dxhuevhfuceqmpoolmuhflp,,Dxh7647,1-475-304-3486,U,1920385.0,m,Canada,821.0,N,Arrow Electronics,Ovsiu,Fullerton,O,323782.0,5.0,Fincpjxbqwdfuluknajcaxdhgnkkcwwbfrdfbrqfqqsvmkhnw,8.0
Heiehcgec,13.0,DE,3.0,Aqopbqsxqxjj,NASLRGJGXPDOGNJSHNLNGBCXJVO,Aqo7648,1-677-882-6792,S,576903.0,,United States of America,,,Rock-Tenn,Frqdqbs,Overland Park,O,31880.0,2.0,Ujullatqqlqdeavpcpzhhoscdnspvktckvmdjhdniiqn,6.0
sgapkfrztiyyayezulvi,58.0,Prince Edward Island,5.0,fenowyirqcdcwwo,Qehqgkzddwjunisyacybbnmrmkunpfvrnhfizwrrzbtgfgphxpoonkwajc,fen7649,1-151-067-7411,D,1855037.0,,United States of America,643.0,s,R.H. Donnelley,waiitdv,Alexandria,O,390190.0,3.0,Eymghd,8.0
Nohjtayoycptngwoitqzhmuf,67.0,TN,4.0,CMQIHWYKNOLSX,Wxsvopaiebzotntohnhbnlweijvcpcixjlldrgjwkkejcj,CMQ7650,1-645-553-4591,U,2954046.0,,Canada,817.0,,Pall,Vlmzifrfolfs,Fort Collins,O,413821.0,1.0,ZCSEIEDDDMOVRBHWWTUUMAROGAJCSMTYNASUNDOIDTZDWBVQQJBOMANTK,2.0
