ct,cntr,nmbrcrs,gndr,mddlntl,phn,frstnm,stt,mplr,ddrssln2,nmbrchldrn,g,lstnm,ntwrth,ddrssln1,mrtlstts,pstlcd,gncd,nmbrcrdtcrds,crdtrtng,wnrrntflg,ncm
Oakland,Canada,1.0,,,1-352-678-5471,kpofwgtomgijnm,IL,Phillips-Van Heusen,Epaaokgrslzlcjtllstpodcsskzenaqhgroofipgpaivskjrl,2.0,38.0,czuvw,3874445.0,cyemudyvatrcwkhyrvhoyskcxltqgaichanbfnkrkmpnhcbwekxkttzlun,M,Xbgykqm,czu7576,3.0,348.0,O,156048.0
Billings,United States of America,1.0,,Z,1-906-600-9749,Biflzgcqpqpbahquomftmjffohpwuy,AZ,Wells Fargo,fuixrzwezjuxvetnqbqvqgtrbbgrqlojvlwdmgrm,5.0,68.0,Ghrlcuscpesuzsdwqfwwbgh,437353.0,BESJDYZDIOIXKDFEHBQXBPW,M,NNCXIBTCXZA,Ghr7577,8.0,598.0,O,63617.0
Pueblo,United States of America,2.0,,,1-093-018-2851,ybdlwlwxispyswbiegrbsqqtywxr,NY,Vornado Realty Trust,PKNXWXZSPZVJZWGCKAJHNUMDRGMPLVOCYJLJIXJ,2.0,93.0,Rwkdeshuwhwvmvmdnckmuvdt,2669917.0,Ouopoqztakszwsfkthdbwndfjuqaelyd,U,mfwuio,Rwk7578,9.0,505.0,O,244849.0
Sherbrooke,United States of America,4.0,,,1-302-096-9321,Capzcewdt,WA,New York Times,Lkkvumtmnrvrjtlywgatmmbqvhgjoncagwpdkqxfatgjtrlqatcsri,3.0,48.0,Uwinnbtdd,1466537.0,Ivwhotvobwkshcixclfobqoljlaqohw,S,Utgwrun,Uwi7579,7.0,839.0,R,123585.0
Sacramento,United States of America,1.0,,,1-915-044-3154,XKBLVBCCYKMIXABVTOTVPZCJRII,GA,Adobe Systems,CYQWJKJB,1.0,96.0,VXZTLDNZPYIFIKTIJRXS,991860.0,fhyfjlfzocprhuxssewqdcjntakpnfrrlvvrtixuwiehfdwlieexcddafimypxequ,S,Wgulrhctjlg,VXZ7580,2.0,672.0,U,391134.0
Charlotte,United States of America,5.0,f,p,1-040-274-3474,wmknfemsztimaphftadowlmbnp,AZ,Valmont Industries,Benrlnrukapbkqkznyklqbpoyoghrymxjcvmdmax,5.0,58.0,Aykkkc,,Puybvawojqglchdvckhhhwtrhoztrkdxmerkelmhaspzwtqxuwwudksgvkvhtotnaqrkugnjxvv,M,Srhxvxe,Ayk7581,3.0,696.0,O,426759.0
El Paso,United States of America,5.0,M,,1-678-397-2739,DHLVITRFJDXLTPAGMPMJ,NV,UAL,oloeaozdkljzxdkpgjkvtezaxqsrditzkoxg,3.0,63.0,lhodktal,1816368.0,Lsopumkmqmonjmlmflvsdngfmmzduhnxawyecejbmrtvjybkpnvcgpdhwg,W,Dadkihaohc,lho7582,5.0,448.0,O,451737.0
Mesa,United States of America,2.0,,,1-679-345-9939,Jdpqutldftwykfyhukveiaimoyyk,TN,AFLAC,Kjnvbvojnzffgidgpamtxetgmsivuzwlhxxmzoxaiih,1.0,18.0,rziprpcfwnirtuvrbfnuepq,565246.0,Ghzvqseujpafmovabrwnwkxervmdpyesyqirnaatzqhuqfdqipdszqfztcebixh,S,Fpoleiod,rzi7583,9.0,549.0,O,180822.0
Simi Valley,United States of America,4.0,,,1-093-616-0613,Qiwemtdba,AL,VeraSun Energy,Gvdcaulgbqsovluquetiietqlyhogoxfwocirrzcdqtopomgoquxfvshlmditbfkunpqbb,2.0,40.0,Wdsuorykxmvfxupyyjl,1899339.0,Xdtoypjkkrcpporwtlevrcsdlgjoayhhvvafsoopwajtxkrigdwigxjfzdqatllarqxxbrmtkhxlut,W,Cuaieflmccqp,Wds7584,0.0,705.0,O,205843.0
St. Catharines,United States of America,4.0,M,f,1-546-131-8988,JQKEDISZ,TX,Magellan Health Services,ccfzcxohrhrcnypedmhjovjyjrxi,3.0,29.0,Xsjypvyfoqbiq,3873239.0,hgttwqtnebsqgkjbronfyeudniiwutfnqbive,M,qiraymmapgf,Xsj7585,6.0,387.0,O,470985.0
Washington,United States of America,2.0,,v,1-477-186-7432,Gfuwa,WV,Emcor Group,WCIHZJPBUKCGXKSSTUGJMWISEEABOFGIFLDYAXWBMSAX,1.0,21.0,Luxkby,767547.0,Nhgrkzjzcrjcerkwrugwul,U,Tsynomgib,Lux7586,7.0,359.0,,318225.0
Chula Vista,Canada,2.0,f,,1-965-848-6954,CTTUYHUUMMDTX,ND,Peabody Energy,Aietfdbvjpusblgoeqathspxayjlitxzwqmmjfugfvjrqucfqgmjqgg,2.0,41.0,wxwhwasadsmxchyhlgrvnurte,1027999.0,,M,Amudllk,wxw7587,9.0,494.0,O,326044.0
Montpelier,United States of America,1.0,m,e,1-622-866-0937,Wvtqm,Saskatchewan,State Farm Insurance Cos.,dkloiwbnfvzdahunlhpjrogccxqvumqnusxtgmumlgkqbfeavzoqjurkuzwgviv,1.0,56.0,pfzjoarqopfjtzjalxxxeq,3428495.0,uiaoi,M,ELQKT,pfz7588,10.0,345.0,,
Mesa,United States of America,2.0,M,,1-040-217-2014,xuwgpsvzcpxtoerndtr,VA,Humana,REHWDWEP,0.0,33.0,hlxshqpvshstjerwclb,1827180.0,Wwonzdtvwkn,M,Oiwac,hlx7589,10.0,402.0,O,187282.0
New Haven,United States of America,2.0,,,1-101-684-2373,Hnnzpokbygacjjgybkskf,ND,News Corp.,BLJWLBPCUELGOKEIUQCTSGDTXPVLCUAMBJJFTLWHGJCNDTMJCJEPURKGOZXHMEG,0.0,96.0,nybiaaw,2070007.0,AMTOWGTCMDSRCOWJBLURSTPFEOLTMRUDWTJUPMTTWGTSBKOXNQXACYUSAJI,M,Dqgzinvuxxy,nyb7590,3.0,579.0,O,
Indianapolis,United States of America,2.0,,O,1-386-426-5849,qsnivsknktiwjpqwnrlgftnmsrxkjc,ND,Torchmark,DIMPFMEBDNHBCT,0.0,35.0,Lttvvpjjavydrmbt,,JKQKFZDAPNVCKIEOJKULQNJPYEBYRLWOWFZXHZSMKF,,Nchaajfkjvx,Ltt7591,2.0,569.0,O,
Stockton,United States of America,0.0,,,1-598-816-0126,pygsfvfpeofkdcugfvxdsqgmcgebfp,MS,Rock-Tenn,CPQPITTJFMZURCPKRDGFXKRGKAGZRVRHTVLTDGCNAIMRIQMUJMAFVYKPGZJTYUFXD,4.0,40.0,gszunimggpyfjzmivbwizzftuen,3596263.0,cezvfwtftwlwfrgrpxtuejvrgucexe,W,XEDMBUAMGXKH,gsz7592,9.0,745.0,O,306946.0
Louisville,,0.0,,,1-770-379-7700,Zgxsuo,WY,AGCO,DVYTEPWCABNSGPTLJEMPQLTEWM,,10.0,Kwpztgkknktyvdks,3719999.0,Urcuilobbdyrztgbkgfwrjoafyqwlsnqlutiopcrshmskuoyoiaciustxkpiqldsqgauuadcid,D,crxbrlj,Kwp7593,1.0,320.0,U,99663.0
Atlanta,United States of America,2.0,,D,,ganifmdaqbltccwbqijtkypcetuq,MA,,SKLIUNERLPFHIHAPMJBTKQVRKTLDHCQIYPTSST,4.0,59.0,AGMCLBCUEPVBRKDKWAGBCFOLYET,3058439.0,Exfcwzfigvictunazlvftlzrsspibhlrzvtmgxaeusbvmesdsqxjl,M,Eytubbwi,AGM7594,4.0,591.0,R,482013.0
Milwaukee,United States of America,1.0,m,u,1-628-245-6238,IYCOMORWDFSEKN,AK,United Stationers,,0.0,70.0,Ocnds,2592932.0,Ctgihaqlm,M,Lwftldizl,Ocn7595,10.0,,U,180476.0
Fort Smith,United States of America,4.0,F,,1-813-787-2611,vdvdlfz,PA,McCormick,qlgnszfowrbrkuurrmjrfnfaeulhneecv,5.0,69.0,Cmweamsabhudajyhpsohkpzcy,1471273.0,HCCVKARVRIVXRPTXNKGOUWWQGBAFONRLXIKHAEFCYDQKORIDLXEDTZDKYWVTRPPONNYIPNIKESRXJ,M,GSSFZNBZL,Cmw7596,5.0,417.0,,285682.0
Knoxville,United States of America,0.0,,V,1-362-897-1162,Sbwymtnwzhffkwjczlsnvrtcv,MA,National Life Group,VHIXZPOUQNTSSHSDGUCZRJUUTMIKLNWMJAVUWCMTVNSFTCYJK,5.0,96.0,Ditjvpiidkjkvxssfnctzcczb,,hmzhflsjioddxmyfwldlmsctecjnwfphlpurcskbcobgltmcreqzwcgtk,M,Nrnqtmjz,Dit7597,8.0,338.0,R,455032.0
Idaho Falls,United States of America,3.0,,S,1-952-919-4878,qjjwbffbgxilxyarhjwdvo,DC,Hasbro,CVQRRGZCPZBNQTCNASXYSYWIUEJKLKHKBQZTGXQCFUDATGTJLZCATICUAJAHZLFG,,9.0,Rmmasnivkq,2410816.0,Lsogsuqtirrbxtqcjiuqxanxtnopebdwrdeeuvwnw,S,Rzjxvum,Rmm7598,9.0,340.0,O,356141.0
Jacksonville,Canada,3.0,,,1-145-214-8009,JIXUQX,RI,Tupperware Brands,svisticqsjulrudmbisfvfrpddlemifeirzxpdcflhevzsrddatdhpzcrtucukwlqng,3.0,39.0,ekjvgcmzgobzeerrpfgefwvxlvfcua,1059543.0,Uwusowhyhffxilandrietkdrsvvvlpzofvkawvxkvattcerugrirajtxaiacyr,U,Accezkuzqrif,ekj7599,5.0,738.0,U,165667.0
Stockton,United States of America,0.0,,A,1-328-944-9786,Eqrxuc,MA,Covance,MIMWGPPF,2.0,31.0,wcqqbslcxugdqpbzbmbqvlahw,379282.0,Lfpgqfwbwpmiwcopvzwijjqtfffhktzfnftscpjoagausqdhxwqxaugejdiestvm,S,LNZZPGOTEG,wcq7600,7.0,597.0,O,459767.0
Thousand Oaks,United States of America,2.0,f,,1-899-864-9421,PDAXUXBMPOVTKJUR,Alberta,Interactive Brokers Group,Xpannac,2.0,64.0,Klcanpomjmuwosnasroukafsxtufz,3271265.0,RSSNUTWWLOKIHRRTPEAFTLBF,M,YINOHET,Klc7601,4.0,603.0,R,106459.0
Nashua,,,,,1-877-997-8896,Adftxl,AR,SkyWest,Pspmoftnashzvtfxfiuuzjpcvugdlvvezjgojjmvkgaqxqriw,1.0,38.0,Jrdmn,1530364.0,Sachwqwddeyfxvagihsjxtcsibaejb,D,ddgkyv,Jrd7602,5.0,662.0,U,51021.0
Tallahassee,United States of America,2.0,,,1-750-900-0823,Gaksvvggpbleteofow,VA,Best Buy,RUVLQHPKIECWUMXVAJLEIVCCDFYFEMUNTJAJ,4.0,47.0,GDQESTOSFCKVLPZEQPNFIKQLTXB,3731860.0,Cufllhjlhxcfjgmkipgheftjjbidptdiypdgekdobmfjdtamkcrxnqjo,W,Seiksuhglhj,GDQ7603,0.0,838.0,R,494931.0
Brownsville,United States of America,5.0,,,,Ijstknxzfzsvqmy,OR,Sears Holdings,Tgduloxjkccxdbsfdbssvgjtovxnpmmufkdwbhtgolrddejglsgeds,2.0,,fnmqzceohwapysohiuofkhjpwzgv,2488858.0,Sbutxmtwkb,M,Ytgghhaxc,fnm7604,9.0,791.0,O,429859.0
Charlotte,Canada,1.0,,e,1-347-704-7823,jvhwyzbcwdrrqmlbvpjwbohhemm,ID,Frontier Oil,Axjkrkrawohwcuinpapcyjweaijfinacyiwajxirccyh,4.0,76.0,Ymuvinagbzdhiwglzfacood,2301347.0,Cbalccrxcihrvxlkggbuhwtfthdoqrnmgjnjotietwj,S,Ajlcdadx,Ymu7605,7.0,692.0,O,
Oakland,,0.0,,R,1-228-976-2888,nhhjbqktsr,IA,Automatic Data Processing,WONBQPUKDIDRBXJQPKRNCTWJZIQEVS,3.0,60.0,Pxjmfwpwm,1736571.0,mnkidgiyajigobghpnkdvauwiubpjb,W,Daivf,Pxj7606,8.0,673.0,O,464086.0
Fort Wayne,Canada,3.0,,M,,Lmhtjwddyqbzlxgv,TN,,Mbkljdwjmcmljajvikytmadyqikaodunvvwefxnbvjquurcokfmbhtjirkox,,73.0,Rsdlvo,2399483.0,SJIOBZNSUAWIYMOBHPAHXYCZFFDWRJQHWWXUBACZQEAHXRRADOPNPTLSNPUKMR,U,xrquzcptycg,Rsd7607,7.0,331.0,O,207651.0
Chula Vista,United States of America,4.0,,,1-760-429-1328,BXFLGQTJSJDQAUCXXJXWHTQU,Nova Scotia,Comerica,BPPKDY,,37.0,Qqhwdyopkfs,2982744.0,Fmrydeogisvvtrpsfonolelpnqcbkrr,U,shigmwk,Qqh7608,2.0,744.0,O,260418.0
Peoria,United States of America,5.0,,Q,1-253-879-8833,Tlaihggmhfiuezhjgps,Ontario,Baldor Electric,eapjgyvomnplzitwttydublguuocfdcksfgxlvoziqblbgdr,1.0,50.0,udqexswxytatsvxw,1611011.0,Xhggtfwyslxvgeiuzjfxewcsweefq,M,enehob,udq7609,6.0,446.0,U,
Lexington,Canada,0.0,,M,1-401-256-3483,DSRXJZKFJTIVXLBAX,MD,Commercial Metals,Nbhshnkkfusbintuaomfozzlzlrqvcnszantpkgtdkpeezeygucvpain,4.0,0.0,Ghlflxgkavpsqvkpun,2999167.0,,M,RNLAKRXSPA,Ghl7610,0.0,,O,316963.0
Salem,Canada,5.0,f,,1-175-910-8245,Annsrbdzywmpqvigpn,AR,,Xuqmcmxaigbk,,,mtkfmxripistepftjaxfosviokgqsf,,PGNOPPCDMGALPXCUTMSWMPCBAEXDPEWWNELVBMEHMLQWFXJFPBV,W,Hlezt,mtk7611,,,O,84046.0
San Jose,United States of America,0.0,,,1-565-191-3419,Mrawpcvb,Saskatchewan,Molina Healthcare,cjnjhkatetnmjfhafbopqgnqxuyyigzhvcscq,3.0,,QIYQRALNIIONMKDZB,3307491.0,Scrrpeqjhflhjodeislwrkogtusekfhgavxyzkxucsswbsfvyarheuoxubvpbrqnikgtnojhrzqd,M,Iyqmkpcjx,QIY7612,9.0,723.0,O,368990.0
Kansas City,Canada,2.0,,,1-921-688-5401,yociu,OH,Plains All American Pipeline,HBKYXCKDWMWYBLFBULAVFJRDDWSJVEIRZWMRPJI,0.0,81.0,Ohzpaqjtc,2057260.0,ocaoqaoavswoepexbshcfxlebpktrvxcailmkgrubpkhnn,S,klgnkcaedht,Ohz7613,2.0,348.0,O,124382.0
Windsor,United States of America,2.0,,,1-925-155-0170,DQNVNWPYSMLDGXJVBUHUKDLRSLN,VA,Agilent Technologies,EECYCMJAJGNQBRSKW,0.0,52.0,djgtucxplpftr,53179.0,Gvdteormavfflajkedaclod,M,Jsombikj,djg7614,,666.0,O,9263.0
Chicago,United States of America,2.0,,,1-185-691-2951,wfnjfn,ID,AutoZone,Gzqqapoggafoymlrsdrpgoprvegwwopsfzocffghlyukaydviarcohmehmyeirotvnrvtpi,4.0,68.0,Iaduje,690086.0,FVYNANAYSWPPSTXKNOKMZMLZOIBIQTBNDJJPEXEQCMANKXOFXEPJSLXVHO,M,Xtckbvng,Iad7615,3.0,,U,334181.0
Evansville,United States of America,0.0,,H,1-067-518-3854,WWWEN,WI,,hgandkyzsnb,1.0,,EMGQKGEOTCGAFGDZVTRUAVGZYPM,2025465.0,Idxmryfqfxjwygiupsvahogtgmfblkxthoqfgrdeuchamwhdjpupmcclxwkppzpt,M,YPUWSVRD,EMG7616,8.0,844.0,R,314001.0
Honolulu,Canada,1.0,,,1-188-554-1671,Krjcfgq,MS,Universal Health Services,Zdhvqoatgrajtuxyjelccetgjoccpfpsixd,4.0,36.0,Hjnljezrxojeaoustvawackahexa,695307.0,Gqewktqrrjfbnpatabopksiemhbecyoadkxaldjzkcxdnfyissksjcswkezsvqqodaybteddmn,M,Ifxvsnt,Hjn7617,8.0,766.0,O,168309.0
Cleveland,United States of America,2.0,M,D,1-168-215-2223,Fxmpengjsaf,OK,Time Warner,Qjlhsxmeblxszguipqhysmeugvxjfbogsljhnkjbyzofkptcvjsxjzk,4.0,31.0,CYPTBBGPWKKKFNOUHJ,3238398.0,wqthjtgarfuteltgcckdynvrfpiuivsimldzlpf,M,EAOJPQVWBNZ,CYP7618,10.0,521.0,O,322765.0
Livonia,United States of America,1.0,,h,1-228-022-3056,Eobtk,GA,Sealed Air,QTWXYHMLBYQ,5.0,55.0,KPNRNVLRFUTOWOERTCSIRQZ,1213578.0,HITOZAEKDUJCXSKBHPQYZQSMKSTJXLVHU,W,fhirgl,KPN7619,7.0,306.0,O,311253.0
Little Rock,United States of America,5.0,,x,1-926-766-1124,Abahrdfcbtscoblhaovnjkbx,TN,Sprint Nextel,SDEAIMDWRSKXTFCPHWF,5.0,66.0,Vbimifwtrtvb,103708.0,Blsmawjjdmdamrhqyqgzmbkfa,W,Lahfziy,Vbi7620,9.0,411.0,R,140296.0
Halifax,United States of America,1.0,F,,1-538-797-1948,bhephgijqbu,SC,,Hvihqkuiruvwtepybhnojenudorriouchghugcvjufnkzunbsrmtbcrmps,5.0,22.0,ehbcbdctlcspuvwbqveohanmkolbw,1086081.0,Stofpzwyhkpmuq,M,tofdjef,ehb7621,3.0,,O,439984.0
Peoria,United States of America,5.0,F,C,1-627-234-0841,KECNVVPGTOXHIGOUAWLHU,AR,Quiksilver,DDYEJXZYQIMFMUBLREEDFORHJSISHQDDZPBMPYHNYWIFJDDOUOLVPBXWANDWWB,0.0,51.0,TMQACIIUMYYZHYX,1349626.0,LPPSVGKGAUQESCWZEDIMRDWXUAJHNNYZUGVANEOPQEJGBKDNSTJEXOJSJQJXLLZRREKKD,U,rckzx,TMQ7622,8.0,702.0,O,454011.0
San Jose,United States of America,1.0,a,y,1-876-492-0782,xppmtvztaifqynlbmofxonnus,MT,Valspar,qujdhroylacrccrmzujxxqlnymrouggufjybwwsykhsvmex,5.0,26.0,Lsbutxufufshmkqnscnhx,1083092.0,,S,MMLJKBGXD,Lsb7623,1.0,842.0,R,191541.0
Charlotte,United States of America,2.0,M,u,1-436-946-7319,kzntoukktuqqfuyeo,WY,Timken,Lhwkvadxwcjobcggyuighvqlcm,1.0,100.0,Dpzpfctp,1662799.0,Twfsibyhrvrnvcygkdiwyokzoikvjbawfwpiachehbzcinnvdgevmbuozxru,U,banusio,Dpz7624,0.0,528.0,R,
Hilo,United States of America,3.0,,,1-281-780-2897,TDRLAQZARCGRAMDDMCWP,WY,,,3.0,13.0,Zujmcfzznpfohsdp,3548540.0,cnckvldjedzgdqhy,W,Safkd,Zuj7625,5.0,300.0,R,
Yonkers,United States of America,2.0,,,1-421-286-4139,shbaeyxyrjfietruntrdeyqkc,WV,Occidental Petroleum,zbukjmmufvsxqdpushkgyleznwdgfdwkdhfzdfvlhvhzyxozyghmfggpnvsvwbx,1.0,11.0,Jqkozdva,881414.0,,S,DHTLWJDXLRW,Jqk7626,7.0,752.0,O,269215.0
Modesto,Canada,0.0,m,,1-908-354-2709,Zururxrihusergiba,CA,,Alukohji,4.0,62.0,ijbcvbgglqupyentiqncsnswyygl,1712200.0,VITKCZSDQUXZTMLICIBDHMBKLDLCTRVNDXMCHYEHGKHEVTWIYGOYVVMGCSUTKYDEVACOBPWCJYA,M,RORIUHK,ijb7627,0.0,303.0,O,193126.0
Louisville,United States of America,3.0,F,U,1-466-560-2530,QZLCPVRKZMTENMREVZT,Alberta,Massey Energy,qinotwpokaozfdzpohccxuavdpaxwdlmtmjadfltnjmhwgrdejicmcfnlubhbyllemdfach,5.0,13.0,NMOXMHMVUDGY,847446.0,qehomraquwxrkb,M,bxgwhohh,NMO7628,10.0,418.0,O,462618.0
Eugene,United States of America,3.0,f,,1-578-686-8082,dvbflygvxrizbclmqwoajkvnzoufc,New Brunswick,Weyerhaeuser,FBWQRQEOCZGLOVVDOASBUQUXZBVEIKKQRXKCOLNRDAEZDUWIIIHUPMQPB,3.0,23.0,Tefewe,344294.0,pqcvwpsrvpzvqbvhsmxgvaigjfvoqwnjrzcpnlwqcqhzedfjoqpahrugzhperwh,W,SRARKMXOD,Tef7629,4.0,667.0,O,212026.0
Buffalo,United States of America,1.0,,Z,1-166-077-1436,mtnubdnrdoivcuqmapqhtvzkixw,British Columbia,National Fuel Gas,Kxxipkohacffav,4.0,51.0,Sdjhq,1534879.0,Vhixcyutfffwnvhjcajyuzaqshhtpkcdxkxayylwdfdvwdqejppkxhwfe,D,hwugfvlttol,Sdj7630,7.0,441.0,U,371024.0
Santa Fe,United States of America,3.0,m,,1-535-320-1881,Nzljqsbgutsixlosfedpmlzl,DE,Pep Boys,Qiuvitslpgrugyhfepyhqpkepxoakfdvujxvlwdzbrdqkspjgjwaxyoqtmumrognloxfgllgtbwijnof,2.0,2.0,Pbrfgfdwedgrmifitr,3897101.0,kxnhxkeruywqzmkpbwatzrjybxepmuyrnmxtcjblsbdaewnizpa,U,zgsllav,Pbr7631,0.0,471.0,O,235810.0
Springfield,United States of America,2.0,m,,1-633-495-6478,Ealrdsynhtadihmsl,CT,Neiman Marcus,onxyyslcmbyxpfjuykowqpwqi,,,Icejebxweavlnddpjz,3064442.0,Kobkgkfebuucmenkiwfomkpzvbqksljtanzpffqcbmerezuplwjemxtcbgfijlplqkbvt,W,Mszwfhpj,Ice7632,9.0,701.0,O,347270.0
Anchorage,United States of America,5.0,,,1-398-680-0278,xfjdwfentojva,Quebec,BlackRock,Wkxlmnutvtbidibsrfiukggzvzdvudlsqtqoeebfxdwoljaovnqwtpfbxqltfivgy,2.0,82.0,ZWGIV,2016524.0,TAIWTM,D,Yqfxb,ZWG7633,1.0,323.0,R,399212.0
Winnipeg,United States of America,4.0,m,,1-185-976-7770,Zvowaelneuhpxzphpvtgvfz,NJ,McGraw-Hill,MXUDWCEFTAOMQPNNQJDWEAHPTNIEPUJTQFGLYLHYBIJTRKBWERWKLGDWLBP,5.0,94.0,Evwthrqmqfpsbpdqojtqzpjmpoea,37745.0,Twqwqcihxcqtsikjrbkpdkcjvilxxwufcseemmxkpaevfnnugdvcqakfvfskapafcnvyd,M,ypmuep,Evw7634,10.0,846.0,O,439561.0
Waco,United States of America,3.0,m,c,1-490-238-8219,fmdcjzjekrwrirumyvfuqnnkxzr,MN,Family Dollar Stores,Krdmgygwnziumjdtybwyw,4.0,16.0,Lhlatzfku,503752.0,Wvsmbbadsaukihzirleqmihmfjfafpipekvdkefyphameghcopkjeesgzzrbcermehabkebgrek,M,Xthtecuu,Lhl7635,8.0,850.0,O,29980.0
Stockton,United States of America,2.0,,N,1-891-741-2112,Ohetzpmilrphnhnasiisaypdl,NE,Teleflex,JTLEWNNBVYPWFKNPYKCXCZDTNCGWXYQCIDBURDHPBHUDIRREIPIIWURQNJPCMCOXKDIHAMXJO,5.0,43.0,LYBUGCXZYJSERVQKQJKNIIW,2115180.0,gftdszadvqouvqfmwwscgcdqwrqbpwtnqurrsyiwhkcvhuocznwtwvy,M,Xjzpdio,LYB7636,,,U,28693.0
Boston,Canada,1.0,M,x,1-849-918-0984,VAUWGMVOILXNGKB,VA,,xauoqrsloepjaonxzrenuzjnuvdmormautvsxrsssues,2.0,76.0,Ijbmwiomutrflaupolplmfjsqh,839222.0,Phqspowfoiqmszxy,M,Rgthehdvvlh,Ijb7637,3.0,564.0,O,106794.0
Memphis,United States of America,3.0,f,,1-426-168-3142,Tnwgmuvaaqmxskkyqnvrmnmul,PA,Imation,Qkooarftocvmdpflbfdukodamzupzeoefxdaprmvotwoihofsraorlctgmjewbdafubkew,5.0,0.0,Zhftulgpedd,1851334.0,XDPEFDQIMFNMCO,S,ysexit,Zhf7638,4.0,558.0,O,340598.0
Sydney,United States of America,1.0,m,r,1-757-910-8931,mtovrkjvtfkennjujgpegknnck,WV,PPL,Bfntmkesgyjkjrgttbtdncoumqhmnxy,,33.0,PYUHQOCHAUAWGKHHLXQNUWZTEBN,1348251.0,FSSAAXLAMAPBOMTNUFG,U,Wscgcsbwlzj,PYU7639,0.0,417.0,O,490597.0
Shreveport,Canada,2.0,,F,1-468-325-0119,Lwxdv,WY,Smithfield Foods,,2.0,62.0,Ikufiibsvk,2722392.0,AKWOIATLDDKU,U,AUQJTIMK,Iku7640,6.0,487.0,O,499685.0
Modesto,United States of America,2.0,m,,1-383-310-7894,Ftvuzjdzocqmcoxvrbqcna,MN,Macy's,Bnbfbxvqxtngv,0.0,8.0,HBZACUNNIOTFKFSTCILLC,1785161.0,Awzdulnpokgxmcpktscqulqpvxabgunakhqq,M,Weqnwrwrbcgx,HBZ7641,9.0,639.0,O,62285.0
Hull,United States of America,5.0,M,,1-353-727-2029,Hnbgeuii,VT,Torchmark,BYTRQAUTQWENJWAKLFVQEHKDYJALLKWO,5.0,4.0,Pcofbhaqeemibnkjtsoxmdibmpquo,2823578.0,VANVGDDSYEK,U,facqrtjqjmd,Pco7642,3.0,625.0,O,320885.0
Yonkers,United States of America,5.0,,,1-028-849-5461,Fykbowmpxpbb,WV,Herman Miller,XDXUKYODQUUHZQCBQEZZQCMWQMQBUUEJTNSZIBPMEPLOP,3.0,39.0,Ybvjle,2123972.0,TVTDULLNHUZPDNEEKSXEGPXDNE,D,OCNCREZ,Ybv7643,1.0,,O,184669.0
Atlanta,United States of America,0.0,,F,1-480-785-4021,Ruagwhiorgizpmbphjerywjrr,IN,Kindred Healthcare,nkftfznscqodxukjlmjmztlnhvcaaxmcagvke,0.0,90.0,Rimdakhncfjlrbor,112782.0,phbmzmktzmjbzbkqsvgsvojcoukqnfkdnyszoeqyprkqroesnbjv,S,JXOGSVJ,Rim7644,3.0,,R,126989.0
Hayward,Canada,1.0,,,1-443-132-4138,teldp,MS,Arch Coal,Qydqhbagvjtuivmefsuswajpijxzrnjxehoevanlkivlnnfncirniymupsrolidbsqjovm,4.0,7.0,gnfkwjxmvkbeh,248311.0,HWAWSSEUGGKEXQDESYXFHWZ,M,Iqtso,gnf7645,3.0,460.0,,48144.0
Savannah,United States of America,5.0,F,C,1-143-020-1234,Tmhxnpfgyifx,CO,Whirlpool,Mbxglsrssswfglfkjrjmedkyvtchipxrc,4.0,95.0,Wxphiul,3719851.0,Tbgfcjvdnlvfdbsflxuslzugybolmyrvhvnmxmsmbjqjbzyhchsimsksjsmefqpcmz,,Uxgvbwop,Wxp7646,8.0,793.0,O,377787.0
Fullerton,Canada,5.0,m,N,1-475-304-3486,Fpchjcvsrkakkqqsojokdrg,PA,Arrow Electronics,Fincpjxbqwdfuluknajcaxdhgnkkcwwbfrdfbrqfqqsvmkhnw,5.0,59.0,Dxhuevhfuceqmpoolmuhflp,1920385.0,,U,Ovsiu,Dxh7647,8.0,821.0,O,323782.0
Overland Park,United States of America,3.0,,,1-677-882-6792,Heiehcgec,DE,Rock-Tenn,Ujullatqqlqdeavpcpzhhoscdnspvktckvmdjhdniiqn,2.0,13.0,Aqopbqsxqxjj,576903.0,NASLRGJGXPDOGNJSHNLNGBCXJVO,S,Frqdqbs,Aqo7648,6.0,,O,31880.0
Alexandria,United States of America,5.0,,s,1-151-067-7411,sgapkfrztiyyayezulvi,Prince Edward Island,R.H. Donnelley,Eymghd,3.0,58.0,fenowyirqcdcwwo,1855037.0,Qehqgkzddwjunisyacybbnmrmkunpfvrnhfizwrrzbtgfgphxpoonkwajc,D,waiitdv,fen7649,8.0,643.0,O,390190.0
Fort Collins,Canada,4.0,,,1-645-553-4591,Nohjtayoycptngwoitqzhmuf,TN,Pall,ZCSEIEDDDMOVRBHWWTUUMAROGAJCSMTYNASUNDOIDTZDWBVQQJBOMANTK,1.0,67.0,CMQIHWYKNOLSX,2954046.0,Wxsvopaiebzotntohnhbnlweijvcpcixjlldrgjwkkejcj,U,Vlmzifrfolfs,CMQ7650,2.0,817.0,O,413821.0
Santa Fe,United States of America,1.0,f,,1-670-793-5351,QIGFYQTIPFYCR,CA,Burlington Coat Factory,Vqdxskijczxliokh,2.0,68.0,Yhbbdqabnbldfqhnofnxdrzrj,952096.0,bwkeulfgsowudelmesxzkmxymtsophjwhtgpfexigpkxyptnpyxrnkomowwfgwmynrvpawzb,,DKXNSUJQRKGM,Yhb7651,10.0,702.0,O,301451.0
